id,Tube,Üldpind,Seisukord,Ehitusaasta,Tüüp,Korrus,Korruseid,Kuupäev,Maakond
189485,4,77.4,Vajab renoveerimist,1974,Müüa korter,8,9,24.01.11,Harjumaa
381777,2,44,Renoveeritud,1920,Müüa korter,1,3,10.05.12,Harjumaa
478064,4,79.7,Uus,2012,Müüa korter,4,5,10.12.12,Harjumaa
273763,3,77.6,Valmis,1972,Müüa korter,1,3,19.07.11,Järvamaa
649869,2,44.6,Uus,2008,Müüa korter,1,6,24.09.13,Ida-Virumaa
328109,3,75.2,Renoveeritud,2005,Müüa korter,1,6,21.11.11,Harjumaa
341778,2,53,Uus,2004,Müüa korter (Broneeritud),2,8,23.12.11,Harjumaa
6482,3,62.8,Uus,2008,Müüa korter,5,5,16.09.09,Tallinn
92589,2,62,Uus,2009,Müüa korter,1,3,05.07.10,Tartumaa
852847,2,50.2,Renoveeritud,1985,Müüa korter,6,7,12.12.14,Harjumaa
297812,4,61.1,Renoveeritud,1936,Müüa korter,2,3,15.09.11,Harjumaa
749722,1,22,Renoveeritud,1983,Müüa korter,3,5,10.05.14,Tartumaa
225818,3,55,Renoveeritud,1969,Müüa korter (Broneeritud),1,2,04.04.11,Harjumaa
195761,2,38.9,San. remont tehtud,1962,Müüa korter,1,4,04.02.11,Pärnumaa
758299,3,73.3,Uus,2013,Müüa korter,2,6,21.04.14,Harjumaa
223340,2,37.6,Uus,1961,Müüa korter,2,3,29.03.11,Jõhvi vald
594294,2,62.3,Uus,2007,Müüa korter,4,6,29.05.13,Harjumaa
771494,2,58,Renoveeritud,1928,Anda üürile korter,5,5,15.05.14,Harjumaa
225261,2,70,Vajab renoveerimist,1956,Müüa majaosa,1,2,07.11.11,Harjumaa
527362,2,51.4,Uus,2005,Müüa korter,1,2,19.02.13,Tartumaa
396296,2,45.6,Renoveeritud,1985,Müüa korter,1,9,12.11.12,Tartumaa
511439,3,66.1,Vajab san. remonti,1986,Müüa korter,1,3,24.01.13,Jõgevamaa
163071,3,60.4,Renoveeritud,1968,Müüa korter,4,5,10.11.10,Tartu
90094,5,126,Uus,2007,Anda üürile äripind,1,10,30.06.10,Tallinn
751461,2,35.4,Renoveeritud,1910,Müüa korter,2,3,07.04.14,Harjumaa
800194,4,105,Renoveeritud,1998,Müüa korter,4,5,08.07.14,Harjumaa
953677,2,45.7,Uus,2015,Müüa korter,8,11,10.06.15,Harjumaa
811472,2,58.1,Uus,2002,Müüa korter,1,4,31.07.14,Harjumaa
816863,3,89.8,Uus,2014,Müüa korter,1,2,11.08.14,Harjumaa
116245,2,47,Uus,1964,Müüa korter,1,3,25.08.10,Kohtla-Järve
557519,2,49.3,Keskmine,1989,"Müüa korter, Vahetuse võimalus",9,9,10.04.13,Harjumaa
214346,2,50.4,Keskmine,1972,Müüa korter,2,2,10.03.11,Sangaste vald
7440,3,59,Renoveeritud,1968,Müüa korter,3,3,18.09.09,Harjumaa
